subj_id,StartDate,EndDate,Finished,consent,instexp,only_us,state,gender,citizen,us_born,english,party,conserv,faith,ed_level,cc_inst,us_years,where_born,eng_years,first_lang,instr_pre,evo1_1_pre,gw1_2_pre,nat1_3_pre,dty1_4_pre,aft1_5_pst,cre1_6_pre,gw2_1_pre,gw2_2_pre,gw2_3_pre,gw2_4_pre,evo2_5_pre,evo2_6_pre,engage_pre,aft2_pre,aft3_pre,dty2_pre,dty3_pre,cre2_pre,cre3_pre,nat2_pre,instw_pre,lifsty_pre,natmil_pre_1,instk_pre,k1time_pre_1,k1time_pre_2,k1time_pre_3,k1time_pre_4,pre1_inst,k2time_pre_1,k2time_pre_2,k2time_pre_3,k2time_pre_4,k3time_pre_1,k3time_pre_2,k3time_pre_3,k3time_pre_4,knwgbl_pre,desc_time_1,desc_time_2,desc_time_3,desc_time_4,desc,surprise,lack,new_forg,instlt_pst,lt_in_pst,lt_out_pst,k1time_pst_1,k1time_pst_2,k1time_pst_3,k1time_pst_4,instk_pst,k2time_pst_1,k2time_pst_2,k2time_pst_3,k2time_pst_4,k3time_pst_1,k3time_pst_2,k3time_pst_3,k3time_pst_4,knwgbl_pst,instr_pst,evo1_1_pst,gw1_2_pst,nat1_3_pst,dty1_4_pst,aft1_5_pst.1,cre1_6_pst,gw2_1_pst,gw2_2_pst,gw2_3_pst,gw2_4_pst,evo2_5_pst,evo2_6_pst,engage_pst,aft2_pst,aft3_pst,dty2_pst,dty3_pst,cre2_pst,cre3_pst,nat2_pst,instw_pst,lifsty_pst,natmil_pst_1,instfin,codes_pre,codes_pst
17,2013-03-29 08:38:04,2013-03-29 08:55:14,1,1,1,1,WI,male,1,y,1,republican,6,christian,3,1,,,,,1,6,5,6,8,7,3,4,5,5,6,5,5,7,7,5,5,5,5,4,3,1,6,3,1,6.768,6.768,182.261,1,1,11.821,11.821,118.356,1,3.66,3.66,65.553,1,5,0,0,40.311,0,1,2,4,5,1,infrared,reflected,6.687,6.687,109.308,1,1,10.065,10.065,54.742,1,1.656,1.656,50.986,1,5,1,6,5,6,7,7,5,4,5,5,6,5,6,7,7,6,5,4,5,4,3,1,6,3,1,"MCCE2, DGHG3","SGHG1, DD2, DGHG1, MCCE3"
21,2013-03-29 08:43:43,2013-03-29 09:03:24,1,1,1,1,LA,male,1,y,1,republican,8,christian,4,1,,,,,1,1,2,8,8,8,8,2,2,1,1,2,7,3,8,9,9,7,9,8,7,1,1,0,1,23.442,27.293,51.078,3,1,7.367,47.266,60.814,3,3.985,3.985,24.976,1,5,0,0,46.867,0,1,2,1,5,1,hot,small,1.526,2.289,30.62,2,1,6.627,7.505,28.095,2,6.891,10.682,15.47,3,5,1,1,9,9,9,8,9,2,1,1,1,2,5,1,8,9,9,7,9,9,8,1,1,0,1,"DD2, DNK1",DNK1
3,2013-03-29 09:43:54,2013-03-29 10:01:44,1,1,1,1,MN,male,1,y,1,democrat,3,agnostic,5,1,,,,,1,8,7,5,2,2,1,7,7,7,7,6,7,6,2,3,1,1,3,2,5,1,3,4,1,1.7,1.7,87.67,1,1,1.965,1.965,41.157,1,18.581,18.581,30.267,1,4,0,0,147.283,0,1,3,3,8,1,visible,energy,5.308,5.308,94.352,1,1,22.861,22.861,57.634,1,1.196,1.196,17.26,1,7,1,8,8,5,2,2,1,7,8,7,7,8,8,6,2,2,1,1,2,2,5,1,4,4,1,"MCCS1, MCCE2, DNK2, DNK1","SGHG1, DD2, MCCE3, DGHG2"
31,2013-03-29 10:35:41,2013-03-29 10:50:31,1,1,1,1,NY,female,1,y,1,independent,3,agnostic,4,1,,,,,1,5,7,3,5,5,5,6,7,6,7,7,7,7,5,6,4,3,5,4,2,1,7,10,1,6.673,6.673,102.1,1,1,10.587,10.587,61.015,1,11.493,36.837,87.286,5,3,0,0,15.392,0,1,1,3,8,1,natural,infared,6.074,46.387,74.074,8,1,4.954,4.954,11.136,1,2.435,2.435,6.844,1,2,1,5,8,2,5,4,5,7,6,6,7,6,7,7,4,5,5,5,5,3,2,1,6,15,1,"MCCS1, MCCS3, DGHG4","MCCQ1, DNK2"
30,2013-03-29 11:07:49,2013-03-29 11:19:54,1,1,1,1,PA,female,1,y,1,democrat,2,spiritual but not religious,3,1,,,,,1,7,6,7,7,7,1,7,7,4,7,3,4,4,7,4,6,1,4,6,1,1,1,2,1,3.227,3.227,33.552,1,1,3.544,3.544,25.085,1,2.413,2.413,10.099,1,2,0,0,107.188,0,1,1,5,2,1,infrared,I'm not sure,2.102,2.102,47.636,1,1,1.66,84.011,88.482,6,0.637,0.637,24.394,1,1,1,7,7,7,7,7,1,7,7,3,7,4,6,3,7,4,7,1,3,6,1,1,2,2,1,"MCCS1, MCCS4, DNK1","MCCE3, SGHG1, DGHG3, DGHG4"
10,2013-03-29 10:47:29,2013-03-29 11:21:38,1,1,1,1,FL,male,1,y,1,democrat,1,christian,5,1,,,,,1,6,6,4,6,5,1,6,6,4,6,6,8,6,5,5,5,4,6,1,3,1,3,3,1,9.002,150.904,153.83,3,1,19.814,112.282,204.018,3,16.215,16.215,151.968,1,2,221.485,256.009,274.098,2,1,3,3,7,1,VISIIBLE,INFARED WAVELENGTHS,31.945,31.945,143.041,1,1,6.472,6.472,74.257,1,2.71,2.71,41.259,1,3,1,6,7,4,5,5,1,6,7,6,6,6,8,6,5,5,5,4,5,1,4,1,3,3,1,"MCCS1, MCCS4, DD3, DGHG3","MCCE3, DD1, DGHG3"
35,2013-03-29 14:57:10,2013-03-29 15:17:42,1,1,1,1,IN,male,1,y,1,republican,5,christian,4,1,,,,,1,5,7,8,5,5,5,7,7,6,7,6,8,6,5,7,5,3,6,5,4,1,6,0,1,2.253,2.253,74.19,1,1,18.646,18.646,107.224,1,13.19,13.19,142.088,1,4,0,0,35.86,0,1,5,3,5,1,sun,sun,11.241,11.241,78.778,1,1,8.405,8.405,47.83,1,3.172,3.172,13.509,1,4,1,5,7,8,5,5,5,6,8,6,7,5,9,6,5,7,5,5,6,4,4,1,6,0,1,"MCCQ2, MCCE3, DGHG3, DGHG4","MCCQ2, DGHG3"
12,2013-03-29 18:44:04,2013-03-29 19:01:16,1,1,1,1,nc,female,1,y,1,republican,8,christian,5,1,,,,,1,2,6,6,8,8,8,6,6,6,5,2,8,5,8,8,8,8,8,8,3,1,4,2,1,9.12,9.12,137.695,1,1,20.106,20.106,36.181,1,11.653,11.653,18.304,1,4,35.219,85.281,89.78,5,1,4,4,7,1,VISIBLE,INFRARED,28.837,55.212,59.871,4,1,21.01,21.01,28.326,1,2.82,75.538,78.022,2,5,1,2,7,6,8,8,8,5,7,6,5,2,8,5,8,8,8,8,8,8,3,1,5,2,1,"MCCS1, DNK1","DD1, DGHG1, DGHG3, MCCS1, MCCE1"
16,2013-03-29 20:27:44,2013-03-29 20:40:23,1,1,1,1,OR,male,1,y,1,other,4,buddhist,4,1,,,,,1,4,5,3,5,4,4,6,5,3,4,6,7,4,4,5,6,4,6,3,7,1,5,4,1,7.719,16.772,122.77,2,1,14.852,22.802,40.904,3,16.62,16.62,48.759,1,5,0,0,23.597,0,1,1,3,3,1,infrered. ,visable ,15.152,15.152,46.828,1,1,26.185,26.185,47.981,1,1.734,2.27,12.866,2,3,1,5,5,5,5,4,4,6,5,6,7,5,7,5,6,4,7,5,5,5,5,1,5,2,1,"MCCS1, MCCE2, DGHG2","DGHG3, MCCE2, MCCS3"
34,2013-03-29 23:34:34,2013-03-30 00:00:34,1,1,1,1,NY,female,1,y,1,democrat,1,other,5,1,,,,,1,9,8,1,1,1,1,9,9,9,9,9,9,9,1,1,1,1,1,1,2,1,7,5,1,13.792,13.792,66.313,1,1,63.4,161.159,163.452,4,11.547,95.603,110.368,6,4,0,0,87.98,0,1,1,3,8,1,higher-energy infrared wavelength,lower-energy infrared wavelength,20.563,176.851,178.468,6,1,78.774,135.616,143.389,3,15.452,15.452,21.234,1,5,1,9,9,1,1,1,1,9,9,9,9,9,9,8,1,1,1,1,1,1,2,1,9,5,1,"DGHG3, DGHG2","DD3, DGHG1, DNK2"
